id,avis,label,categorie,difficulte
413,"Je ne pensais pas que le SAV serait aussi réactif.",positif,support,négation_positive
414,"Encore des frais cachés dans la facture.",négatif,paiement,sarcasme
415,"Confirmation d'expédition envoyée.",neutre,administratif,factuel
416,"Le produit est agréable à utiliser au quotidien.",positif,produit,simple
417,"J'ai dû me battre pour obtenir mon remboursement.",négatif,remboursement,problème
418,"Bon service, facile à utiliser.",positif,general,simple
419,"Je n'ai pas pu finaliser ma commande à cause d'un bug.",négatif,application,problème
420,"La livraison a été retardée mais le service client m'a tenu informé.",mitigé,livraison,opinion_mixte
421,"Je suis fan de votre application.",positif,application,simple
422,"On m'avait annoncé une livraison avant 12h, reçue à 18h.",négatif,livraison,problème
423,"Je n'aurais pas pensé laisser un avis positif au départ.",positif,general,négation_positive
424,"Produit haut de gamme pour un prix raisonnable.",positif,produit,simple
425,"Impossible de modifier une commande après validation.",négatif,application,problème
426,"Bonne communication tout au long du processus.",positif,support,simple
427,"Je ne peux pas conseiller ce produit en l'état.",négatif,produit,simple
428,"Le rechargement de la page efface le panier.",négatif,application,problème
429,"Je ne pensais pas avoir des nouvelles si vite.",positif,support,négation_positive
430,"Informations de facturation incorrectes.",négatif,administratif,problème
431,"La qualité est là, je ne suis pas déçu.",positif,produit,négation_positive
432,"L'appli est agréable à utiliser et bien conçue.",positif,application,simple
433,"Je n'imaginais pas que ce produit serait aussi durable.",positif,produit,négation_positive
434,"Retard important sans communication.",négatif,livraison,problème
435,"Excellent achat, sans aucun problème.",positif,produit,simple
436,"Le mode de paiement en crypto n'est pas disponible.",mitigé,paiement,opinion_mixte
437,"Je ne m'y attendais pas, mais votre chat en ligne est vraiment utile.",positif,support,négation_positive
438,"Produit abîmé à réception.",négatif,produit,problème
439,"Suivi de commande mis à jour.",neutre,livraison,factuel
440,"Très bon produit, conforme à ma commande.",positif,produit,simple
441,"Le support est joignable mais peu efficace.",mitigé,support,opinion_mixte
442,"Je n'attendais pas ça d'une marque comme la vôtre.",négatif,produit,problème
443,"L'emballage est trop volumineux pour si peu.",mitigé,produit,opinion_mixte
444,"Je ne pensais pas finir par recommander ce service.",positif,general,négation_positive
445,"Application disponible sur toutes les plateformes.",positif,application,simple
446,"Colis arrivé le bon jour.",neutre,livraison,factuel
447,"Le service est de qualité, personnel attentionné.",positif,support,simple
448,"Je ne pouvais pas imaginer acheter ailleurs.",positif,general,négation_positive
449,"L'article est conforme mais la taille court.",mitigé,produit,opinion_mixte
450,"Votre service client ne déçoit jamais.",positif,support,simple
451,"Le formulaire de retour renvoie une erreur 404.",négatif,application,problème
452,"Je pensais que la qualité serait bien inférieure.",positif,produit,négation_positive
453,"Livraison rapide et bien emballée.",positif,livraison,simple
454,"Le produit s'efface trop vite.",négatif,produit,problème
455,"Compte suspendu sans raison apparente.",négatif,administratif,problème
456,"J'ai apprécié la transparence sur les délais.",positif,support,simple
457,"Je ne savais pas que votre service était aussi complet.",positif,general,négation_positive
458,"Application ergonomique et rapide.",positif,application,simple
459,"Mon colis a été retenu à la douane sans que vous m'en informiez.",négatif,livraison,problème
460,"Je suis impressionné par la qualité du service.",positif,support,simple
461,"Application difficile à prendre en main au départ.",mitigé,application,opinion_mixte
462,"Votre service est dans le top 3 que j'ai utilisé.",positif,general,simple
463,"Le remboursement aurait pu être plus rapide.",mitigé,remboursement,opinion_mixte
464,"Je n'aurais pas commandé autant si le service n'était pas aussi bon.",positif,general,négation_positive
465,"Notification reçue pour ma livraison.",neutre,livraison,factuel
466,"Produit bien pensé et ergonomique.",positif,produit,simple
467,"Je ne comprends pas pourquoi le remboursement est partiel.",négatif,remboursement,problème
468,"Le service client a fait preuve d'une grande empathie.",positif,support,simple
469,"Votre site ne sauvegarde pas le panier.",négatif,application,problème
470,"Je n'aurais pas parié sur un service en ligne mais vous avez bien joué.",positif,general,négation_positive
471,"Livraison effectuée dans les temps.",neutre,livraison,factuel
472,"Très bonne qualité de fabrication.",positif,produit,simple
473,"Je suis mécontent de la gestion de ma réclamation.",négatif,support,problème
474,"Le site est facile à naviguer.",positif,application,simple
475,"Je ne pensais pas qu'on pouvait être aussi satisfait.",positif,general,négation_positive
476,"La description du produit ne mentionne pas tous les défauts.",négatif,produit,problème
477,"Commande bien reçue, merci.",positif,livraison,simple
478,"J'ai été remboursé plus vite que prévu.",positif,remboursement,simple
479,"L'appli affiche un message d'erreur au démarrage.",négatif,application,problème
480,"Je n'aurais pas pensé avoir autant de satisfaction.",positif,general,négation_positive
481,"L'article est vendu sans le câble d'alimentation.",négatif,produit,problème
482,"Très bonne expérience du début à la fin.",positif,general,simple
483,"Je ne me doutais pas que le service était si bien organisé.",positif,support,négation_positive
484,"Votre transporteur perd régulièrement des colis.",négatif,livraison,problème
485,"Mise à jour du compte effectuée.",neutre,administratif,factuel
486,"Produit robuste, bonne longévité prévisible.",positif,produit,simple
487,"Je pense que c'est le meilleur achat de l'année.",positif,produit,simple
488,"Le service m'a déçu par rapport aux attentes créées.",mitigé,general,opinion_mixte
489,"Je n'avais pas vu les frais de livraison, dommage.",mitigé,paiement,opinion_mixte
490,"Livraison rapide, produit en parfait état.",positif,livraison,simple
491,"Je n'arrive pas à retrouver ma facture dans l'espace client.",négatif,administratif,problème
492,"Le personnel téléphonique est très agréable.",positif,support,simple
493,"Le suivi de ma commande est incohérent.",négatif,livraison,problème
494,"Je ne pensais pas que vous prendriez ma remarque en compte si vite.",positif,support,négation_positive
495,"Bonne application, quelques bugs mineurs.",mitigé,application,opinion_mixte
496,"La commande est arrivée le jour dit.",positif,livraison,simple
497,"Votre service est vraiment une déception.",négatif,general,simple
498,"Je suis agréablement surpris par les délais.",positif,livraison,simple
499,"L'appli consomme trop de batterie.",négatif,application,problème
500,"Bon service, je vous fais confiance.",positif,general,simple
501,"Le produit correspond exactement à la description.",positif,produit,simple
502,"Je ne pensais pas que la livraison serait aussi rapide.",positif,livraison,négation_positive
503,"Votre site est régulièrement en maintenance.",négatif,application,problème
504,"Le support a pris en charge ma demande immédiatement.",positif,support,simple
505,"Colis reçu en avance sur les prévisions.",positif,livraison,simple
506,"Je n'aurais pas commandé là si j'avais eu plus de temps.",mitigé,general,négation_positive
507,"L'article ressemble à de la contrefaçon.",négatif,produit,problème
508,"Remboursement reçu conforme.",positif,remboursement,simple
509,"Votre application mériterait plus de fonctionnalités.",mitigé,application,opinion_mixte
510,"Je suis très satisfait, le produit est excellent.",positif,produit,simple
511,"Le service est long mais finalement efficace.",mitigé,support,opinion_mixte
512,"J'attends toujours une réponse à ma demande.",négatif,support,problème
513,"La mise à jour a amélioré la vitesse de l'application.",positif,application,simple
514,"Je n'aurais pas imaginé une réponse aussi rapide.",positif,support,négation_positive
515,"La livraison est arrivée avec 4 jours de retard.",négatif,livraison,problème
516,"L'interface est bien pensée.",positif,application,simple
517,"Votre SAV n'est pas à la hauteur.",négatif,support,problème
518,"Je ne pensais pas que ce serait aussi simple.",positif,general,négation_positive
519,"Produit commandé le lundi, reçu le mercredi.",positif,livraison,simple
520,"Pas convaincu par la robustesse du produit.",mitigé,produit,opinion_mixte
521,"Le service client m'a orienté vers la bonne solution.",positif,support,simple
522,"Je n'ai pas reçu l'article offert avec ma commande.",négatif,produit,problème
523,"L'application est bien optimisée.",positif,application,simple
524,"J'aurais aimé avoir plus de choix dans les modes de livraison.",mitigé,livraison,opinion_mixte
525,"Votre service de suivi en temps réel est vraiment pratique.",positif,livraison,simple
526,"Je ne pensais pas avoir à me plaindre aussi souvent.",négatif,general,négation_positive
527,"Le produit est très bien conçu.",positif,produit,simple
528,"Mon paiement a été doublement prélevé.",négatif,paiement,problème
529,"Je suis ravi de ma commande.",positif,general,simple
530,"Votre support connaît ses sujets.",positif,support,simple
531,"La qualité visuelle du produit est très bonne.",positif,produit,simple
532,"Je ne m'attendais pas à un service de cette qualité.",positif,support,négation_positive
533,"La livraison a été effectuée comme promis.",positif,livraison,simple
534,"Votre application consomme trop de données mobiles.",négatif,application,problème
535,"Je n'ai jamais eu de problème avec votre service.",positif,general,négation_positive
536,"Le produit est bruyant à l'utilisation.",négatif,produit,problème
537,"Je suis très content de mon achat.",positif,produit,simple
538,"Votre service est irréprochable.",positif,general,simple
539,"Je n'aurais pas pensé avoir un tel niveau de service.",positif,support,négation_positive
540,"La commande a été bien préparée.",positif,general,simple
541,"Mon remboursement est parti dans les délais prévus.",positif,remboursement,simple
542,"Je ne pensais pas que ce produit serait aussi pratique.",positif,produit,négation_positive
543,"L'application m'a rendu la vie plus simple.",positif,application,simple
544,"Votre service de livraison a perdu mon colis.",négatif,livraison,problème
545,"Je n'ai pas eu à attendre plus de 5 minutes au téléphone.",positif,support,négation_positive
546,"Le produit est bien conçu pour une utilisation quotidienne.",positif,produit,simple
547,"Votre service après-vente a tout résolu.",positif,support,simple
548,"Je ne m'attendais pas à un emballage aussi soigné.",positif,produit,négation_positive
549,"La mise à jour a corrigé les bugs signalés.",positif,application,simple
550,"Mon compte a été bloqué sans raison.",négatif,administratif,problème
551,"L'article correspond à la description sur le site.",positif,produit,simple
552,"Je ne pensais pas être aussi bien traité.",positif,support,négation_positive
553,"Livraison dans les temps, colis intact.",positif,livraison,simple
554,"Le service m'a demandé les mêmes informations plusieurs fois.",négatif,support,problème
555,"Je suis satisfait de la qualité du produit.",positif,produit,simple
556,"Application bien notée, et ça se confirme à l'usage.",positif,application,simple
557,"Je n'ai eu aucun souci lors de la commande.",positif,general,négation_positive
558,"La livraison a été faite avec soin.",positif,livraison,simple
559,"Votre service est parfois décevant.",mitigé,general,opinion_mixte
560,"Je ne pensais pas que l'application serait aussi utile.",positif,application,négation_positive
561,"Le produit ne chauffe pas trop.",positif,produit,simple
562,"La qualité du service est inégale selon les conseillers.",mitigé,support,opinion_mixte
563,"Je suis impressionné par la qualité du produit.",positif,produit,simple
564,"L'application est utile mais elle a encore des défauts.",mitigé,application,opinion_mixte
565,"Votre site web charge rapidement.",positif,application,simple
566,"Je ne m'attendais pas à une telle rigueur.",positif,support,négation_positive
567,"Mon article est arrivé en parfait état.",positif,produit,simple
568,"Le service client n'est disponible que le matin.",mitigé,support,opinion_mixte
569,"Je ne pensais pas que le produit serait aussi polyvalent.",positif,produit,négation_positive
570,"L'application propose maintenant des fonctionnalités avancées.",positif,application,simple
571,"Je suis déçu par la qualité globale.",négatif,general,simple
572,"Votre équipe est toujours disponible et aimable.",positif,support,simple
573,"Je n'avais aucune attente et j'ai été positivement surpris.",positif,produit,négation_positive
574,"La livraison express coûte trop cher.",mitigé,livraison,opinion_mixte
575,"Votre service mérite vraiment 5 étoiles.",positif,general,simple
576,"J'ai reçu un article soldé à prix plein.",négatif,paiement,problème
577,"Je ne pensais pas que votre service était aussi fiable.",positif,general,négation_positive
578,"Le service de retour fonctionne bien.",positif,remboursement,simple
579,"Votre chat en ligne me renvoie toujours vers les FAQ.",négatif,support,problème
580,"Je suis très satisfait de mon expérience globale.",positif,general,simple
581,"La qualité du produit est supérieure à ce que j'espérais.",positif,produit,simple
582,"Je n'aurais pas dû hésiter aussi longtemps.",positif,general,négation_positive
583,"Votre application est devenue indispensable pour moi.",positif,application,simple
584,"L'email de confirmation est arrivé en spam.",mitigé,administratif,opinion_mixte
585,"Je ne pensais pas que la résolution serait si rapide.",positif,support,négation_positive
586,"Le produit est arrivé bien emballé.",positif,produit,simple
587,"Votre service dépasse mes attentes.",positif,general,simple
588,"J'ai eu du mal à trouver l'assistance en ligne.",mitigé,support,opinion_mixte
589,"Je ne m'attendais pas à ce que le retour soit aussi simple.",positif,remboursement,négation_positive
590,"Le service est fluide et sans complications.",positif,general,simple
591,"Votre appli ne synchronise pas les données correctement.",négatif,application,problème
592,"Je suis très satisfait du service rendu.",positif,support,simple
593,"La livraison a eu lieu sans encombre.",positif,livraison,simple
594,"Le produit est solide et de belle facture.",positif,produit,simple
595,"Je ne pensais pas que la qualité serait aussi constante.",positif,produit,négation_positive
596,"Mon paiement a pris du temps à être validé.",mitigé,paiement,opinion_mixte
597,"Je suis content de mon achat.",positif,produit,simple
598,"Votre équipe est toujours réactive.",positif,support,simple
599,"Je n'aurais pas imaginé un service aussi personnel.",positif,support,négation_positive
600,"Application simple et efficace.",positif,application,simple
601,"Votre service m'a aidé à résoudre mon problème rapidement.",positif,support,simple
602,"Je n'ai pas eu à relancer mon dossier.",positif,support,négation_positive
603,"L'article a été livré à l'étage sans supplément.",positif,livraison,simple
604,"Le service client ne peut pas accéder à mon compte.",négatif,support,problème
605,"Je suis très content de ma commande.",positif,general,simple
606,"Votre FAQ est claire et bien organisée.",positif,support,simple
607,"Je ne m'attendais pas à ce niveau de professionnalisme.",positif,support,négation_positive
608,"La commande a bien été traitée.",positif,general,simple
609,"Votre service de chat est plus rapide que le téléphone.",positif,support,simple
610,"Je suis bluffé par la réactivité de l'équipe.",positif,support,simple
611,"Le produit est bien fini et agréable en main.",positif,produit,simple
612,"Je ne pensais pas être remboursé aussi vite.",positif,remboursement,négation_positive
613,"Le service est régulièrement indisponible le week-end.",négatif,support,problème
614,"Je suis satisfait de la réactivité du service.",positif,support,simple
615,"Votre application est l'une des meilleures du marché.",positif,application,simple
616,"Je n'aurais pas pensé que le produit serait aussi léger.",positif,produit,négation_positive
617,"La commande a été livrée avant l'heure prévue.",positif,livraison,simple
618,"Votre service traite les réclamations sérieusement.",positif,support,simple
619,"Je suis impressionné par la fluidité de l'application.",positif,application,simple
620,"La commande est arrivée dans les délais.",positif,livraison,simple
621,"Le suivi de commande est très précis.",positif,livraison,simple
622,"Je ne pensais pas qu'un retour serait aussi sans contrainte.",positif,remboursement,négation_positive
623,"Votre service dépasse les attentes.",positif,general,simple
624,"J'ai apprécié le suivi proactif de ma commande.",positif,support,simple
625,"Je ne m'attendais pas à un tel soin dans l'emballage.",positif,produit,négation_positive
626,"Le produit est arrivé en avance.",positif,livraison,simple
627,"Votre support m'a guidé pas à pas.",positif,support,simple
628,"Je suis agréablement surpris.",positif,general,simple
629,"Application légère, rapide, sans bug.",positif,application,simple
630,"Le remboursement a bien été effectué.",positif,remboursement,simple
631,"Je ne pensais pas que les délais annoncés seraient respectés.",positif,livraison,négation_positive
632,"Votre service est exemplaire.",positif,general,simple
633,"J'ai reçu un double de ma commande par erreur.",mitigé,produit,problème
634,"Je suis très satisfait du service livraison.",positif,livraison,simple
635,"L'agent a résolu mon problème en moins de 5 minutes.",positif,support,simple
636,"Je ne pensais pas avoir une réponse aussi précise.",positif,support,négation_positive
637,"La qualité de l'emballage est irréprochable.",positif,produit,simple
638,"Votre service client est toujours disponible.",positif,support,simple
639,"Je n'aurais pas imaginé commander aussi souvent.",positif,general,négation_positive
640,"La livraison était en avance, super.",positif,livraison,simple
641,"Le produit est conforme à la description et aux photos.",positif,produit,simple
642,"Je suis satisfait mais j'attendais un peu mieux.",mitigé,general,opinion_mixte
643,"Votre équipe m'a impressionné.",positif,support,simple
644,"Je ne pensais pas trouver ce produit aussi facilement.",positif,general,négation_positive
645,"Application fonctionnelle et bien designée.",positif,application,simple
646,"Le service est fluide, sans accroc.",positif,general,simple
647,"Je n'ai eu aucun problème avec ma commande.",positif,general,négation_positive
648,"La commande a été bien gérée de bout en bout.",positif,general,simple
649,"Le produit est bien sécurisé dans son emballage.",positif,produit,simple
650,"Je suis très satisfait de la qualité du produit.",positif,produit,simple
651,"Je ne pensais pas être aussi bien accompagné.",positif,support,négation_positive
652,"La livraison est rapide et fiable.",positif,livraison,simple
653,"Votre service est au top !",positif,general,simple
654,"Je suis impressionné par le professionnalisme.",positif,support,simple
655,"L'application est vraiment bien faite.",positif,application,simple
656,"Je ne m'attendais pas à une telle qualité.",positif,produit,négation_positive
657,"La commande est traitée rapidement.",positif,general,simple
658,"Votre service est vraiment différent des autres.",positif,general,simple
659,"Je ne pensais pas être aussi content.",positif,general,négation_positive
660,"Le service est efficace et sans perte de temps.",positif,general,simple
661,"Je ne peux pas imaginer faire autrement.",positif,general,négation_positive
662,"La qualité est vraiment bonne.",positif,produit,simple
663,"Votre service est fiable et ponctuel.",positif,general,simple
664,"Je suis très satisfait de l'expérience.",positif,general,simple
665,"L'appli est bien adaptée à mes besoins.",positif,application,simple
666,"Je ne pensais pas que ce serait aussi satisfaisant.",positif,general,négation_positive
667,"La commande est arrivée sans problème.",positif,livraison,simple
668,"Je suis content de la qualité du service.",positif,support,simple
669,"L'expérience est fluide et agréable.",positif,general,simple
670,"Je ne pensais pas trouver une telle qualité.",positif,produit,négation_positive
671,"La livraison a été parfaitement gérée.",positif,livraison,simple
672,"Je suis vraiment satisfait de mon expérience.",positif,general,simple
673,"L'application répond parfaitement à mes attentes.",positif,application,simple
674,"Je ne m'attendais pas à une telle réactivité.",positif,support,négation_positive
675,"Le produit est bien adapté à l'usage quotidien.",positif,produit,simple
676,"Votre service est vraiment à la hauteur.",positif,general,simple
677,"Je suis très content de l'ensemble.",positif,general,simple
678,"La qualité de service est constante.",positif,general,simple
679,"Je ne pensais pas être aussi bien servi.",positif,support,négation_positive
680,"L'application est pratique et bien conçue.",positif,application,simple
681,"Je suis satisfait de la livraison.",positif,livraison,simple
682,"Votre service est toujours à la hauteur.",positif,general,simple
683,"Je ne m'attendais pas à une résolution aussi rapide.",positif,support,négation_positive
684,"La commande est arrivée dans les délais prévus.",positif,livraison,simple
685,"Je suis impressionné par le service rendu.",positif,support,simple
686,"L'appli est simple et intuitive.",positif,application,simple
687,"Je ne pensais pas que la livraison serait aussi rapide.",positif,livraison,négation_positive
688,"Le produit est de qualité, je le recommande.",positif,produit,simple
689,"Votre service m'a encore impressionné.",positif,general,simple
690,"Je suis très satisfait de cette commande.",positif,general,simple
691,"L'application est utile et bien organisée.",positif,application,simple
692,"Je ne pensais pas que le service serait aussi bon.",positif,general,négation_positive
693,"La livraison s'est déroulée sans problème.",positif,livraison,simple
694,"Je suis content du produit reçu.",positif,produit,simple
695,"Votre service est vraiment efficace.",positif,general,simple
696,"Je ne m'attendais pas à un tel service.",positif,support,négation_positive
697,"La commande a été bien préparée et livrée.",positif,general,simple
698,"Je suis satisfait de la qualité globale.",positif,general,simple
699,"L'application est rapide et fonctionnelle.",positif,application,simple
700,"Je ne pensais pas que le produit serait aussi bon.",positif,produit,négation_positive
701,"Le colis était bien scellé et en parfait état.",positif,produit,simple
702,"Je n'arrive pas à annuler ma commande en ligne.",négatif,application,problème
703,"Votre conseiller m'a expliqué clairement la procédure.",positif,support,simple
704,"Le délai de livraison affiché ne correspond pas à la réalité.",négatif,livraison,problème
705,"Je suis satisfait de la réponse donnée à ma réclamation.",positif,support,simple
706,"La page produit ne charge pas les images.",négatif,application,problème
707,"Je ne pensais pas qu'un retour serait aussi indolore.",positif,remboursement,négation_positive
708,"Le service m'a écouté et a proposé une vraie solution.",positif,support,simple
709,"Je suis en attente de mon remboursement depuis 6 semaines.",négatif,remboursement,problème
710,"L'article reçu est une ancienne version non mentionnée.",négatif,produit,problème
711,"Je suis très content de la livraison express.",positif,livraison,simple
712,"Votre service répond toujours présent.",positif,support,simple
713,"Je n'aurais pas cru que mon problème serait résolu aussi vite.",positif,support,négation_positive
714,"La commande est en cours de livraison.",neutre,livraison,factuel
715,"Je suis déçu par la qualité de l'emballage.",négatif,produit,problème
716,"Le service client a pris note de ma demande.",neutre,support,factuel
717,"Je n'attendais pas une aussi bonne expérience.",positif,general,négation_positive
718,"Le produit est arrivé en bon état.",positif,produit,simple
719,"Votre plateforme est parfois difficile à utiliser.",mitigé,application,opinion_mixte
720,"Je suis satisfait de la rapidité de la livraison.",positif,livraison,simple
721,"L'application affiche parfois des erreurs inexpliquées.",mitigé,application,opinion_mixte
722,"Je ne pensais pas être aussi bien remboursé.",positif,remboursement,négation_positive
723,"La qualité du produit est irréprochable.",positif,produit,simple
724,"Votre service dépasse toujours mes attentes.",positif,general,simple
725,"Je n'ai eu aucun problème lors de ma commande.",positif,general,négation_positive
726,"La livraison est toujours ponctuelle.",positif,livraison,simple
727,"Je suis impressionné par la qualité de votre service.",positif,support,simple
728,"Votre appli est vraiment bien conçue.",positif,application,simple
729,"Je ne pensais pas que votre service serait aussi irréprochable.",positif,general,négation_positive
730,"La commande est bien arrivée.",positif,livraison,simple
731,"Je suis satisfait de votre service.",positif,general,simple
732,"Le produit est solide et bien conçu.",positif,produit,simple
733,"Je ne m'attendais pas à un emballage aussi professionnel.",positif,produit,négation_positive
734,"L'application est stable depuis la mise à jour.",positif,application,simple
735,"Je suis très content du service client.",positif,support,simple
736,"La livraison est rapide et sécurisée.",positif,livraison,simple
737,"Je ne pensais pas qu'un service en ligne pouvait être aussi humain.",positif,support,négation_positive
738,"Le produit est fonctionnel et bien fini.",positif,produit,simple
739,"Votre service est vraiment fiable.",positif,general,simple
740,"Je suis satisfait de mon achat.",positif,general,simple
741,"L'appli est mise à jour régulièrement.",positif,application,simple
742,"Je ne pensais pas que vous prendriez mon avis aussi au sérieux.",positif,support,négation_positive
743,"La livraison a été rapide.",positif,livraison,simple
744,"Je suis très satisfait de la qualité du service.",positif,support,simple
745,"Le produit est conforme à mes attentes.",positif,produit,simple
746,"Votre service est toujours efficace.",positif,general,simple
747,"Je ne m'attendais pas à être aussi bien accompagné.",positif,support,négation_positive
748,"La commande est bien packagée.",positif,produit,simple
749,"Je suis très satisfait.",positif,general,simple
750,"L'application est agréable à utiliser.",positif,application,simple
751,"Votre service est honnête et transparent.",positif,general,simple
752,"Je ne pensais pas que votre équipe serait aussi réactive.",positif,support,négation_positive
753,"La livraison est toujours dans les délais.",positif,livraison,simple
754,"Je suis content de la qualité de ce produit.",positif,produit,simple
755,"Votre service client m'a bien guidé.",positif,support,simple
756,"Je ne pensais pas trouver un service aussi performant.",positif,general,négation_positive
757,"La commande a bien été enregistrée.",neutre,administratif,factuel
758,"Je suis satisfait de la fluidité de l'application.",positif,application,simple
759,"Le produit est de très bonne qualité.",positif,produit,simple
760,"Votre service répond toujours à mes besoins.",positif,general,simple
761,"Je ne m'attendais pas à recevoir mon colis aussi vite.",positif,livraison,négation_positive
762,"La qualité est au rendez-vous.",positif,produit,simple
763,"Je suis très content du résultat.",positif,general,simple
764,"L'appli a amélioré mon expérience d'achat.",positif,application,simple
765,"Je ne pensais pas que le service serait si complet.",positif,general,négation_positive
766,"La livraison s'est faite sans problème.",positif,livraison,simple
767,"Je suis satisfait de la prise en charge de ma demande.",positif,support,simple
768,"Le produit est léger et facile à utiliser.",positif,produit,simple
769,"Votre service est vraiment remarquable.",positif,general,simple
770,"Je ne pensais pas que vous seriez aussi efficaces.",positif,support,négation_positive
771,"La commande est arrivée dans un délai raisonnable.",positif,livraison,simple
772,"Je suis satisfait de l'ensemble de mon expérience.",positif,general,simple
773,"L'application est bien intégrée à mon quotidien.",positif,application,simple
774,"Je ne m'attendais pas à un service aussi pro.",positif,support,négation_positive
775,"La qualité du produit justifie son prix.",positif,produit,simple
776,"Votre service est dans les standards les plus élevés.",positif,general,simple
777,"Je suis très satisfait de la fluidité du service.",positif,general,simple
778,"L'appli est parfaitement responsive.",positif,application,simple
779,"Je ne pensais pas que ce serait aussi efficace.",positif,general,négation_positive
780,"La livraison est toujours de qualité.",positif,livraison,simple
781,"Je suis content de la façon dont ma réclamation a été gérée.",positif,support,simple
782,"Le produit est solide et de qualité.",positif,produit,simple
783,"Votre service est exemplaire dans sa gestion des retours.",positif,remboursement,simple
784,"Je ne pensais pas que le processus serait aussi simple.",positif,general,négation_positive
785,"La commande a bien été traitée dans les délais.",positif,general,simple
786,"Je suis satisfait de la qualité du remboursement.",positif,remboursement,simple
787,"L'appli est claire et lisible.",positif,application,simple
788,"Je ne m'attendais pas à autant de soin.",positif,produit,négation_positive
789,"La livraison est ponctuelle et soignée.",positif,livraison,simple
790,"Je suis impressionné par la cohérence du service.",positif,general,simple
791,"L'application est fiable et rapide.",positif,application,simple
792,"Je ne pensais pas que la livraison serait aussi réussie.",positif,livraison,négation_positive
793,"Le produit est agréable à utiliser.",positif,produit,simple
794,"Votre service m'a convaincu de revenir.",positif,general,simple
795,"Je suis très satisfait du suivi de ma commande.",positif,livraison,simple
796,"L'appli dispose de toutes les fonctionnalités dont j'ai besoin.",positif,application,simple
797,"Je ne pensais pas trouver un tel niveau de service.",positif,general,négation_positive
798,"La livraison était soignée et rapide.",positif,livraison,simple
799,"Je suis content du service de bout en bout.",positif,general,simple
800,"Le produit est conforme et de qualité.",positif,produit,simple
801,"J'ai reçu une notification de livraison mais le colis n'est pas là.",négatif,livraison,problème
802,"Le service client a bien géré ma demande urgente.",positif,support,simple
803,"Je ne m'attendais pas à un tel souci du détail.",positif,produit,négation_positive
804,"Mon abonnement a été résilié par erreur.",négatif,administratif,problème
805,"L'agent m'a proposé une solution adaptée.",positif,support,simple
806,"Je ne pensais pas qu'on pouvait aussi bien gérer un retour.",positif,remboursement,négation_positive
807,"Le produit s'use plus vite que prévu.",négatif,produit,problème
808,"Je suis très content de l'accompagnement reçu.",positif,support,simple
809,"Votre service a su dépasser mes attentes.",positif,general,simple
810,"Je n'aurais pas imaginé une prise en charge aussi rapide.",positif,support,négation_positive
811,"La commande a été annulée et remboursée rapidement.",positif,remboursement,simple
812,"Je ne pensais pas qu'il y aurait autant d'options de livraison.",positif,livraison,négation_positive
813,"Votre application m'a fait gagner beaucoup de temps.",positif,application,simple
814,"Je suis très satisfait du produit et du service.",positif,general,simple
815,"L'agent m'a bien orienté malgré la complexité.",positif,support,simple
816,"Je ne m'attendais pas à avoir aussi peu de problèmes.",positif,general,négation_positive
817,"La livraison est arrivée avec un jour d'avance.",positif,livraison,simple
818,"Je suis content du niveau de service.",positif,support,simple
819,"Votre appli facilite vraiment mes achats.",positif,application,simple
820,"Je ne pensais pas qu'un service en ligne serait aussi fiable.",positif,general,négation_positive
821,"Le colis est arrivé propre et bien fermé.",positif,livraison,simple
822,"Je suis très satisfait de la façon dont ma réclamation a été prise en charge.",positif,support,simple
823,"L'application est la meilleure que j'ai utilisée.",positif,application,simple
824,"Je ne m'attendais pas à ce que ce soit aussi pratique.",positif,general,négation_positive
825,"Le produit est top, rien à redire.",positif,produit,simple
826,"Votre service est vraiment différenciant.",positif,general,simple
827,"Je ne pensais pas que votre équipe résoudrait le problème aussi facilement.",positif,support,négation_positive
828,"La livraison était rapide et bien organisée.",positif,livraison,simple
829,"Je suis très satisfait du remboursement.",positif,remboursement,simple
830,"L'appli est vraiment bien pensée.",positif,application,simple
831,"Je ne m'attendais pas à une telle fluidité.",positif,general,négation_positive
832,"Le produit est élégant et fonctionnel.",positif,produit,simple
833,"Votre service est vraiment de qualité.",positif,general,simple
834,"Je ne pensais pas que la commande serait traitée si vite.",positif,general,négation_positive
835,"La livraison est toujours soignée.",positif,livraison,simple
836,"Je suis très satisfait du produit et de la livraison.",positif,general,simple
837,"L'appli est très bien adaptée à l'utilisation mobile.",positif,application,simple
838,"Je ne pensais pas que votre service serait aussi attentif.",positif,support,négation_positive
839,"Le produit dépasse mes attentes en termes de qualité.",positif,produit,simple
840,"Je suis impressionné par l'attention portée à chaque détail.",positif,general,simple
841,"Votre service m'a facilité la vie.",positif,general,simple
842,"Je ne m'attendais pas à une telle cohérence.",positif,general,négation_positive
843,"La livraison est arrivée dans les délais annoncés.",positif,livraison,simple
844,"Je suis très satisfait du service client.",positif,support,simple
845,"L'application est toujours à jour.",positif,application,simple
846,"Je ne pensais pas que vous seriez aussi à l'écoute.",positif,support,négation_positive
847,"La qualité du service est remarquable.",positif,general,simple
848,"Je suis satisfait du remboursement rapide.",positif,remboursement,simple
849,"L'appli est claire et bien structurée.",positif,application,simple
850,"Je ne pensais pas que votre service serait aussi compétent.",positif,support,négation_positive
851,"La livraison était dans les temps et le colis intact.",positif,livraison,simple
852,"Je suis satisfait de la transparence du service.",positif,general,simple
