id,avis,label,categorie,difficulte,clean_avis,tokens_count,text_without_stopwords,processed_avis
233,Le produit est bien mais l'odeur à l'ouverture est forte.,mitigé,produit,opinion_mixte,le produit est bien mais l'odeur à l'ouverture est forte,10,produit l'odeur l'ouverture forte,produit l'odeur l'ouverture forte
234,Je ne voudrais pas commander ailleurs après cette expérience.,positif,general,négation_positive,je ne voudrais pas commander ailleurs après cette expérience,9,ne voudrais pas commander ailleurs après expérience,ne voudrais pas commander ailleurs après expérience
235,Mon dossier a été traité plus vite que prévu.,positif,administratif,simple,mon dossier a été traité plus vite que prévu,9,dossier été traité vite prévu,dossier éter traiter vite prévu
236,L'appli perd ma session à chaque fois.,négatif,application,problème,l'appli perd ma session à chaque fois,7,l'appli perd session chaque fois,l'appli perd session chaque fois
237,"Franchement bravo, vous avez géré une situation délicate avec beaucoup de professionnalisme.",positif,support,simple,franchement bravo vous avez géré une situation délicate avec beaucoup de professionnalisme,12,franchement bravo avez géré situation délicate beaucoup professionnalisme,franche bravo avez gérer situation délicate beaucoup professionnalisme
238,Je dois encore patienter pour le remboursement.,mitigé,remboursement,opinion_mixte,je dois encore patienter pour le remboursement,7,dois encore patienter remboursement,dois encore patienter rembourse
239,Encore un message automatique inutile.,négatif,support,sarcasme,encore un message automatique inutile,5,encore message automatique inutile,encore message automatique inutile
240,Confirmation de résiliation envoyée par email.,neutre,administratif,factuel,confirmation de résiliation envoyée par email,6,confirmation résiliation envoyée email,confirmation résiliation envoyer email
241,Le produit est exactement ce qu'il me fallait.,positif,produit,simple,le produit est exactement ce qu'il me fallait,8,produit exactement qu'il fallait,produit exacte qu'il fallait
242,Votre garantie ne couvre rien d'utile.,négatif,remboursement,problème,votre garantie ne couvre rien d'utile,6,garantie ne couvre rien d'utile,garantie ne couvre rien d'utile
243,"Je ne savais pas que vous proposiez un tel service, agréable surprise.",positif,support,négation_positive,je ne savais pas que vous proposiez un tel service agréable surprise,12,ne savais pas proposiez tel service agréable surprise,ne savais pas proposiez tel service agréable surprise
244,Le livreur a cassé quelque chose en forçant le portail.,négatif,livraison,problème,le livreur a cassé quelque chose en forçant le portail,10,livreur cassé quelque chose forçant portail,livreur casser quelque chose forçant portail
245,"Appli intuitive, aucun bug rencontré.",positif,application,simple,appli intuitive aucun bug rencontré,5,appli intuitive aucun bug rencontré,appli intuitive aucun bug rencontrer
246,Commande annulée automatiquement sans raison.,négatif,general,problème,commande annulée automatiquement sans raison,5,commande annulée automatiquement raison,commande annuler automatique raison
247,La qualité de la matière est haut de gamme.,positif,produit,simple,la qualité de la matière est haut de gamme,9,qualité matière haut gamme,qualiter matière haut gamme
248,Votre service client est aux abonnés absents le week-end.,négatif,support,problème,votre service client est aux abonnés absents le week end,10,service client abonnés absents week end,service client abonnéer absents week end
249,Je n'aurais pas commandé si je savais que ça venait de si loin.,mitigé,livraison,négation_positive,je n'aurais pas commandé si je savais que ça venait de si loin,13,n'aurais pas commandé savais ça venait loin,n'aurais pas commander savais ça venait loin
250,"Avoir de fidélité crédité, merci.",neutre,administratif,factuel,avoir de fidélité crédité merci,5,fidélité crédité merci,fidéliter créditer merci
251,"Le service est correct, sans être exceptionnel.",mitigé,general,opinion_mixte,le service est correct sans être exceptionnel,7,service correct exceptionnel,service correct exceptionnel
252,J'ai reçu le mauvais article.,négatif,produit,problème,j'ai reçu le mauvais article,5,j'ai reçu mauvais article,j'ai recevoir mauvais article
253,Je ne pensais pas que vous seriez aussi généreux dans votre geste commercial.,positif,remboursement,négation_positive,je ne pensais pas que vous seriez aussi généreux dans votre geste commercial,13,ne pensais pas seriez généreux geste commercial,ne pensais pas seriez généreux geste commercial
254,Votre transporteur laisse à désirer.,négatif,livraison,problème,votre transporteur laisse à désirer,5,transporteur laisse désirer,transporteur laisse désirer
255,Le produit s'est cassé après deux utilisations.,négatif,produit,problème,le produit s'est cassé après deux utilisations,7,produit s'est cassé après deux utilisations,produit s'est casser après deux utilisations
256,"Franchement je ne m'y attendais pas, très belle surprise.",positif,produit,simple,franchement je ne m'y attendais pas très belle surprise,9,franchement ne m'y attendais pas belle surprise,franche ne m'y attendais pas belle surprise
257,Votre service de retour est simple et efficace.,positif,remboursement,simple,votre service de retour est simple et efficace,8,service retour simple efficace,service retour simple efficace
258,"Je n'ai jamais eu à contacter le support, tout fonctionne bien.",positif,support,négation_positive,je n'ai jamais eu à contacter le support tout fonctionne bien,11,n'ai jamais eu contacter support fonctionne,n'ai jamais eu contacter support fonctionne
259,Paiement validé sous quelques secondes.,positif,paiement,simple,paiement validé sous quelques secondes,5,paiement validé quelques secondes,paie valider quelques secondes
260,La commande est en cours de préparation.,neutre,livraison,factuel,la commande est en cours de préparation,7,commande cours préparation,commande cours préparation
261,Aucune réponse à mon email depuis 10 jours.,négatif,support,problème,aucune réponse à mon email depuis 10 jours,7,aucune réponse email depuis jours,aucune réponse email depuis jours
262,"Produit de qualité, conforme à la description.",positif,produit,simple,produit de qualité conforme à la description,7,produit qualité conforme description,produit qualiter conforme description
263,Je ne comprends pas pourquoi mon colis est bloqué en douane.,négatif,livraison,problème,je ne comprends pas pourquoi mon colis est bloqué en douane,11,ne comprends pas pourquoi colis bloqué douane,ne comprends pas pourquoi colis bloquer douane
264,La taille correspond au guide taille indiqué.,positif,produit,simple,la taille correspond au guide taille indiqué,7,taille correspond guide taille indiqué,taille correspond guide taille indiquer
265,Votre IA répond à côté à chaque fois.,négatif,support,sarcasme,votre ia répond à côté à chaque fois,8,ia répond côté chaque fois,ia répond côter chaque fois
266,Email de confirmation de commande reçu.,neutre,administratif,factuel,email de confirmation de commande reçu,6,email confirmation commande reçu,email confirmation commande recevoir
267,"Le chat en ligne fonctionne bien, réponse rapide.",positif,support,simple,le chat en ligne fonctionne bien réponse rapide,8,chat ligne fonctionne réponse rapide,chat ligne fonctionne réponse rapide
268,J'aurais voulu plus de variantes de couleurs.,mitigé,produit,opinion_mixte,j'aurais voulu plus de variantes de couleurs,7,j'aurais voulu variantes couleurs,j'aurais voulu variantes couleurs
269,Je ne m'attendais pas à recevoir un cadeau avec ma commande.,positif,general,négation_positive,je ne m'attendais pas à recevoir un cadeau avec ma commande,11,ne m'attendais pas recevoir cadeau commande,ne m'attendais pas recevoir cadeau commande
270,Application trop lente sur mobile.,négatif,application,problème,application trop lente sur mobile,5,application trop lente mobile,application trop lente mobile
271,Le technicien est arrivé à l'heure.,positif,support,simple,le technicien est arrivé à l'heure,6,technicien arrivé l'heure,technicien arriver l'heure
272,Produit bien mais sans SAV digne de ce nom.,mitigé,support,opinion_mixte,produit bien mais sans sav digne de ce nom,9,produit sav digne nom,produit sav digne nom
273,Votre service fait exactement ce qu'il promet.,positif,general,simple,votre service fait exactement ce qu'il promet,7,service fait exactement qu'il promet,service fait exacte qu'il promet
274,Je suis navré de devoir revenir encore sur ce problème.,négatif,support,problème,je suis navré de devoir revenir encore sur ce problème,10,suis navré devoir revenir encore problème,suis navrer devoir revenir encore problème
275,"Livraison le lendemain, parfait.",positif,livraison,simple,livraison le lendemain parfait,4,livraison lendemain parfait,livraison lendemain parfait
276,L'interface est confuse pour les nouveaux utilisateurs.,négatif,application,problème,l'interface est confuse pour les nouveaux utilisateurs,7,l'interface confuse nouveaux utilisateurs,l'interface confuse nouveaux utilisateurs
277,"Je n'ai rien eu à faire, tout a été géré automatiquement.",positif,general,négation_positive,je n'ai rien eu à faire tout a été géré automatiquement,11,n'ai rien eu faire été géré automatiquement,n'ai rien eu faire éter gérer automatique
278,Remboursement en cours.,neutre,remboursement,factuel,remboursement en cours,3,remboursement cours,rembourse cours
279,La documentation produit est incomplète.,négatif,produit,problème,la documentation produit est incomplète,5,documentation produit incomplète,documentation produit incomplète
280,Merci pour votre aide et votre patience.,positif,support,simple,merci pour votre aide et votre patience,7,merci aide patience,merci aide patience
281,"Je suis satisfait à 80%, il reste des points à améliorer.",mitigé,general,opinion_mixte,je suis satisfait à 80 il reste des points à améliorer,10,suis satisfait reste points améliorer,suis satisfaire reste points améliorer
282,"Le produit est solide, robuste et bien finalisé.",positif,produit,simple,le produit est solide robuste et bien finalisé,8,produit solide robuste finalisé,produit solide robuste finaliser
283,On m'a menti sur les délais de livraison.,négatif,livraison,problème,on m'a menti sur les délais de livraison,8,on m'a menti délais livraison,on m'a menti délais livraison
284,Je ne pensais pas faire confiance à un service en ligne mais vous m'avez convaincu.,positif,general,négation_positive,je ne pensais pas faire confiance à un service en ligne mais vous m'avez convaincu,15,ne pensais pas faire confiance service ligne m'avez convaincu,ne pensais pas faire confiance service ligne m'avez convaincu
285,Statut expédié visible dans mon compte.,neutre,livraison,factuel,statut expédié visible dans mon compte,6,statut expédié visible compte,statut expédier visible compte
286,Votre formulaire de contact est cassé sur mobile.,négatif,application,problème,votre formulaire de contact est cassé sur mobile,8,formulaire contact cassé mobile,formulaire contact casser mobile
287,"Service irréprochable, je reviendrai.",positif,general,simple,service irréprochable je reviendrai,4,service irréprochable reviendrai,service irréprochable reviendrai
288,La commande n'est pas encore arrivée et personne ne me répond.,négatif,support,problème,la commande n'est pas encore arrivée et personne ne me répond,11,commande n'est pas encore arrivée personne ne répond,commande n'est pas encore arriver personne ne répond
289,Bonne expérience globale malgré quelques imperfections.,mitigé,general,opinion_mixte,bonne expérience globale malgré quelques imperfections,6,bonne expérience globale malgré quelques imperfections,bonne expérience globale malgrer quelques imperfections
290,Incroyable comme vous faites attendre vos clients.,négatif,support,sarcasme,incroyable comme vous faites attendre vos clients,7,incroyable faites attendre clients,incroyable faites attendre clients
291,Facture disponible dans votre espace client.,neutre,administratif,factuel,facture disponible dans votre espace client,6,facture disponible espace client,facture disponible espace client
292,Le produit est léger mais résistant.,positif,produit,simple,le produit est léger mais résistant,6,produit léger résistant,produit léger résistant
293,Je n'imaginais pas un emballage aussi travaillé.,positif,produit,négation_positive,je n'imaginais pas un emballage aussi travaillé,7,n'imaginais pas emballage travaillé,n'imaginais pas emballage travailler
294,Livraison au mauvais étage.,négatif,livraison,problème,livraison au mauvais étage,4,livraison mauvais étage,livraison mauvais étage
295,Le service de rappel automatique est pratique.,positif,support,simple,le service de rappel automatique est pratique,7,service rappel automatique pratique,service rappel automatique pratique
296,La mise à jour a supprimé mes paramètres.,négatif,application,problème,la mise à jour a supprimé mes paramètres,8,mise jour supprimé paramètres,mise jour supprimer paramètres
297,"Je suis content et ma femme aussi, on recommande.",positif,general,simple,je suis content et ma femme aussi on recommande,9,suis content femme on recommande,suis content femme on recommande
298,Application plantée depuis la dernière mise à jour.,négatif,application,problème,application plantée depuis la dernière mise à jour,8,application plantée depuis dernière mise jour,application planter depuis dernière mise jour
299,"Bon service en général, délais un peu longs.",mitigé,general,opinion_mixte,bon service en général délais un peu longs,8,bon service général délais peu longs,bon service général délais peu long
300,"Merci, tout s'est bien passé.",positif,general,simple,merci tout s'est bien passé,5,merci s'est passé,merci s'est passer
301,"Colis remis sans signature, ça m'inquiète.",mitigé,livraison,opinion_mixte,colis remis sans signature ça m'inquiète,6,colis remis signature ça m'inquiète,colis remis signature ça m'inquiète
302,Je ne peux pas imaginer commander ailleurs désormais.,positif,general,négation_positive,je ne peux pas imaginer commander ailleurs désormais,8,ne peux pas imaginer commander ailleurs désormais,ne peux pas imaginer commander ailleurs désormais
303,Mon numéro de commande n'est pas reconnu dans l'appli.,négatif,application,problème,mon numéro de commande n'est pas reconnu dans l'appli,9,numéro commande n'est pas reconnu l'appli,numéro commande n'est pas reconnu l'appli
304,"Excellent service, personnel accueillant.",positif,support,simple,excellent service personnel accueillant,4,excellent service personnel accueillant,excellent service personnel accueillant
305,La couleur est exactement celle indiquée sur la fiche produit.,positif,produit,simple,la couleur est exactement celle indiquée sur la fiche produit,10,couleur exactement celle indiquée fiche produit,couleur exacte celle indiquer fiche produit
306,Votre site affiche des promotions qui ne s'appliquent pas.,négatif,paiement,problème,votre site affiche des promotions qui ne s'appliquent pas,9,site affiche promotions ne s'appliquent pas,site affiche promotions ne s'appliquent pas
307,"Je n'aurais jamais pensé commander ici, mais c'était la bonne décision.",positif,general,négation_positive,je n'aurais jamais pensé commander ici mais c'était la bonne décision,11,n'aurais jamais pensé commander ici c'était bonne décision,n'aurais jamais penser commander ici c'était bonne décision
308,"L'emballage est recyclable, bonne initiative.",positif,produit,simple,l'emballage est recyclable bonne initiative,5,l'emballage recyclable bonne initiative,l'emballage recyclable bonne initiative
309,Retour refusé sans explication claire.,négatif,remboursement,problème,retour refusé sans explication claire,5,retour refusé explication claire,retour refuser explication claire
310,Le produit fait exactement ce qui est décrit.,positif,produit,simple,le produit fait exactement ce qui est décrit,8,produit fait exactement décrit,produit fait exacte décrit
311,Commande passée sans encombre.,neutre,general,factuel,commande passée sans encombre,4,commande passée encombre,commande passer encombre
312,Je ne me souviens pas d'une expérience aussi fluide.,positif,general,négation_positive,je ne me souviens pas d'une expérience aussi fluide,9,ne souviens pas d'une expérience fluide,ne souviens pas d'une expérience fluide
313,Votre service est correct mais pas mémorable.,mitigé,general,opinion_mixte,votre service est correct mais pas mémorable,7,service correct pas mémorable,service correct pas mémorable
314,Le suivi de livraison est très précis.,positif,livraison,simple,le suivi de livraison est très précis,7,suivi livraison précis,suivi livraison précis
315,"Encore une fois, colis abîmé.",négatif,produit,sarcasme,encore une fois colis abîmé,5,encore fois colis abîmé,encore fois colis abîmer
316,Adresse de livraison mise à jour.,neutre,administratif,factuel,adresse de livraison mise à jour,6,adresse livraison mise jour,adresse livraison mise jour
317,Je suis bluffé par la rapidité de la livraison.,positif,livraison,simple,je suis bluffé par la rapidité de la livraison,9,suis bluffé rapidité livraison,suis bluffer rapiditer livraison
318,L'interface mobile n'est pas adaptée aux grands écrans.,mitigé,application,opinion_mixte,l'interface mobile n'est pas adaptée aux grands écrans,8,l'interface mobile n'est pas adaptée grands écrans,l'interface mobile n'est pas adapter grands écrans
319,Je n'aurais pas imaginé que vous gériez aussi bien les réclamations.,positif,support,négation_positive,je n'aurais pas imaginé que vous gériez aussi bien les réclamations,11,n'aurais pas imaginé gériez réclamations,n'aurais pas imaginer gériez réclamations
320,Paiement en attente depuis 3 jours.,négatif,paiement,problème,paiement en attente depuis 3 jours,5,paiement attente depuis jours,paie attente depuis jours
321,Le service après-vente a résolu mon problème en un appel.,positif,support,simple,le service après vente a résolu mon problème en un appel,11,service après vente résolu problème appel,service après vente résolu problème appel
322,Colis signalé livré mais pas reçu.,négatif,livraison,problème,colis signalé livré mais pas reçu,6,colis signalé livré pas reçu,colis signaler livrer pas recevoir
323,Bon rapport qualité-prix pour ce type de produit.,positif,produit,simple,bon rapport qualité prix pour ce type de produit,9,bon rapport qualité prix type produit,bon rapport qualiter prix type produit
324,Je ne pensais pas que votre application serait aussi intuitive.,positif,application,négation_positive,je ne pensais pas que votre application serait aussi intuitive,10,ne pensais pas application serait intuitive,ne pensais pas application serait intuitive
325,Mon abonnement s'est renouvelé sans autorisation.,négatif,paiement,problème,mon abonnement s'est renouvelé sans autorisation,6,abonnement s'est renouvelé autorisation,abonne s'est renouveler autorisation
326,L'opérateur était sympa mais pas compétent.,mitigé,support,opinion_mixte,l'opérateur était sympa mais pas compétent,6,l'opérateur sympa pas compétent,l'opérateur sympa pas compétent
327,Je n'ai eu aucun problème avec la livraison.,positif,livraison,négation_positive,je n'ai eu aucun problème avec la livraison,8,n'ai eu aucun problème livraison,n'ai eu aucun problème livraison
328,"Bravo, vous avez réussi à rater une livraison express.",négatif,livraison,sarcasme,bravo vous avez réussi à rater une livraison express,9,bravo avez réussi rater livraison express,bravo avez réussi rater livraison express
329,"Livraison OK, produit OK.",neutre,general,factuel,livraison ok produit ok,4,livraison ok produit ok,livraison ok produit ok
330,Votre service m'a surpris de façon très positive.,positif,support,simple,votre service m'a surpris de façon très positive,8,service m'a surpris façon positive,service m'a surpris façon positive
331,Le produit est bien mais l'installation est compliquée.,mitigé,produit,opinion_mixte,le produit est bien mais l'installation est compliquée,8,produit l'installation compliquée,produit l'installation compliquer
332,Je ne m'attendais pas à une résolution aussi rapide.,positif,support,négation_positive,je ne m'attendais pas à une résolution aussi rapide,9,ne m'attendais pas résolution rapide,ne m'attendais pas résolution rapide
333,"Application stable, aucune erreur en un mois.",positif,application,simple,application stable aucune erreur en un mois,7,application stable aucune erreur mois,application stable aucune erreur mois
334,"Emballage inadapté, le produit a bougé pendant le transport.",négatif,produit,problème,emballage inadapté le produit a bougé pendant le transport,9,emballage inadapté produit bougé pendant transport,emballage inadapter produit bouger pendant transport
335,Je n'avais pas confiance au départ mais vous l'avez gagnée.,positif,general,négation_positive,je n'avais pas confiance au départ mais vous l'avez gagnée,10,n'avais pas confiance départ l'avez gagnée,n'avais pas confiance départ l'avez gagner
336,Espace client clair et bien structuré.,positif,application,simple,espace client clair et bien structuré,6,espace client clair structuré,espace client clair structurer
337,On attend toujours le bon de retour promis.,négatif,remboursement,problème,on attend toujours le bon de retour promis,8,on attend toujours bon retour promis,on attend toujours bon retour promis
338,"Le produit est vraiment solide, je l'utilise tous les jours.",positif,produit,simple,le produit est vraiment solide je l'utilise tous les jours,10,produit vraiment solide l'utilise tous jours,produit vrai solide l'utilise tous jours
339,Impossible de me désabonner de vos emails.,négatif,administratif,problème,impossible de me désabonner de vos emails,7,impossible désabonner emails,impossible désabonner emails
340,Service client disponible et efficace.,positif,support,simple,service client disponible et efficace,5,service client disponible efficace,service client disponible efficace
341,Je ne recommanderai pas ce produit.,négatif,produit,simple,je ne recommanderai pas ce produit,6,ne recommanderai pas produit,ne recommanderai pas produit
342,Les notifications sont trop fréquentes.,mitigé,application,opinion_mixte,les notifications sont trop fréquentes,5,notifications trop fréquentes,notifications trop fréquentes
343,Très belle qualité de finition.,positif,produit,simple,très belle qualité de finition,5,belle qualité finition,belle qualiter finition
344,Mon remboursement n'a été que partiel sans justification.,négatif,remboursement,problème,mon remboursement n'a été que partiel sans justification,8,remboursement n'a été partiel justification,rembourse n'a éter partiel justification
345,L'article a bien été réservé.,neutre,administratif,factuel,l'article a bien été réservé,5,l'article été réservé,l'article éter réserver
346,Un des meilleurs achats que j'ai fait cette année.,positif,produit,simple,un des meilleurs achats que j'ai fait cette année,9,meilleurs achats j'ai fait année,meilleurs achats j'ai fait anner
347,Je ne vois pas d'amélioration par rapport à l'ancienne version.,mitigé,application,opinion_mixte,je ne vois pas d'amélioration par rapport à l'ancienne version,10,ne vois pas d'amélioration rapport l'ancienne version,ne vois pas d'amélioration rapport l'ancienne version
348,La livraison était rapide et bien packagée.,positif,livraison,simple,la livraison était rapide et bien packagée,7,livraison rapide packagée,livraison rapide packager
349,Mon problème de paiement persiste.,négatif,paiement,problème,mon problème de paiement persiste,5,problème paiement persiste,problème paie persiste
350,"Application accessible aux personnes handicapées, bravo.",positif,application,simple,application accessible aux personnes handicapées bravo,6,application accessible personnes handicapées bravo,application accessible personnes handicapéer bravo
351,"Je suis ravi de mon achat, tout correspond.",positif,produit,simple,je suis ravi de mon achat tout correspond,8,suis ravi achat correspond,suis ravi achat correspond
352,Votre service ressemble à un labyrinthe kafkaïen.,négatif,support,problème,votre service ressemble à un labyrinthe kafkaïen,7,service ressemble labyrinthe kafkaïen,service ressemble labyrinthe kafkaïen
353,Je n'aurais pas cru pouvoir être aussi satisfait d'un service en ligne.,positif,general,négation_positive,je n'aurais pas cru pouvoir être aussi satisfait d'un service en ligne,12,n'aurais pas cru pouvoir satisfait d'un service ligne,n'aurais pas cru pouvoir satisfaire d'un service ligne
354,Colis laissé chez le voisin sans mot de la part du livreur.,mitigé,livraison,opinion_mixte,colis laissé chez le voisin sans mot de la part du livreur,12,colis laissé voisin mot part livreur,colis laisser voisin mot part livreur
355,Application bien notée mais ça ne se voit pas à l'utilisation.,négatif,application,sarcasme,application bien notée mais ça ne se voit pas à l'utilisation,11,application notée ça ne voit pas l'utilisation,application noter ça ne voit pas l'utilisation
356,Profil mis à jour avec succès.,neutre,administratif,factuel,profil mis à jour avec succès,6,profil mis jour succès,profil mis jour succès
357,L'article est conforme à mes attentes.,positif,produit,simple,l'article est conforme à mes attentes,6,l'article conforme attentes,l'article conforme attentes
358,Le processus de retour est rapide et sans friction.,positif,remboursement,simple,le processus de retour est rapide et sans friction,9,processus retour rapide friction,processus retour rapide friction
359,Je ne m'attendais pas à tant de réactivité de votre part.,positif,support,négation_positive,je ne m'attendais pas à tant de réactivité de votre part,11,ne m'attendais pas tant réactivité part,ne m'attendais pas tant réactiviter part
360,La livraison a pris deux fois plus longtemps que prévu.,négatif,livraison,problème,la livraison a pris deux fois plus longtemps que prévu,10,livraison pris deux fois longtemps prévu,livraison pris deux fois longtemps prévu
361,"Très satisfaite de mon achat, je recommande à mes amis.",positif,produit,simple,très satisfaite de mon achat je recommande à mes amis,10,satisfaite achat recommande amis,satisfaire achat recommande amis
362,L'appli ne propose pas de mode sombre.,mitigé,application,opinion_mixte,l'appli ne propose pas de mode sombre,7,l'appli ne propose pas mode sombre,l'appli ne propose pas mode sombre
363,Je n'ai jamais eu un service aussi attentionné.,positif,support,négation_positive,je n'ai jamais eu un service aussi attentionné,8,n'ai jamais eu service attentionné,n'ai jamais eu service attentionner
364,La livraison a été gérée parfaitement.,positif,livraison,simple,la livraison a été gérée parfaitement,6,livraison été gérée parfaitement,livraison éter gérer parfaite
365,Votre politique de retour n'est pas clairement indiquée sur le site.,négatif,remboursement,problème,votre politique de retour n'est pas clairement indiquée sur le site,11,politique retour n'est pas clairement indiquée site,politique retour n'est pas claire indiquer site
366,Excellent service du début à la fin.,positif,general,simple,excellent service du début à la fin,7,excellent service début fin,excellent service début fin
367,J'ai reçu un article d'une autre couleur que celle commandée.,négatif,produit,problème,j'ai reçu un article d'une autre couleur que celle commandée,10,j'ai reçu article d'une autre couleur celle commandée,j'ai recevoir article d'une autre couleur celle commander
368,Je ne suis pas convaincu par la qualité.,mitigé,produit,opinion_mixte,je ne suis pas convaincu par la qualité,8,ne suis pas convaincu qualité,ne suis pas convaincu qualiter
369,SMS de confirmation reçu.,neutre,administratif,factuel,sms de confirmation reçu,4,sms confirmation reçu,sms confirmation recevoir
370,Votre équipe a fait l'impossible pour résoudre mon problème.,positif,support,simple,votre équipe a fait l'impossible pour résoudre mon problème,9,équipe fait l'impossible résoudre problème,équipe fait l'impossible résoudre problème
371,Paiement refusé sans raison valable.,négatif,paiement,problème,paiement refusé sans raison valable,5,paiement refusé raison valable,paie refuser raison valable
372,"Je n'aurais pas pensé à cette solution, merci !",positif,support,négation_positive,je n'aurais pas pensé à cette solution merci,8,n'aurais pas pensé solution merci,n'aurais pas penser solution merci
373,Le produit est bien emballé et protégé.,positif,produit,simple,le produit est bien emballé et protégé,7,produit emballé protégé,produit emballer protéger
374,L'interface plante sur Safari.,négatif,application,problème,l'interface plante sur safari,4,l'interface plante safari,l'interface plante safari
375,Bonne expérience générale.,positif,general,simple,bonne expérience générale,3,bonne expérience générale,bonne expérience générale
376,"Le service fait ce qu'il promet, ni plus ni moins.",neutre,general,factuel,le service fait ce qu'il promet ni plus ni moins,10,service fait qu'il promet,service fait qu'il promet
377,J'aurais aimé un emballage cadeau disponible.,mitigé,produit,opinion_mixte,j'aurais aimé un emballage cadeau disponible,6,j'aurais aimé emballage cadeau disponible,j'aurais aimer emballage cadeau disponible
378,Livraison suivie avec précision.,positif,livraison,simple,livraison suivie avec précision,4,livraison suivie précision,livraison suivie précision
379,Le produit est cassé dès la première utilisation.,négatif,produit,problème,le produit est cassé dès la première utilisation,8,produit cassé dès première utilisation,produit casser dès première utilisation
380,"Je ne savais pas que vous offriez ce service, bonne surprise.",positif,support,négation_positive,je ne savais pas que vous offriez ce service bonne surprise,11,ne savais pas offriez service bonne surprise,ne savais pas offriez service bonne surprise
381,Conditions générales mises à jour.,neutre,administratif,factuel,conditions générales mises à jour,5,conditions générales mises jour,conditions générales mises jour
382,"Très bon service, je ne changerais pas.",positif,general,simple,très bon service je ne changerais pas,7,bon service ne changerais pas,bon service ne changerais pas
383,Encore en attente de remboursement après un mois.,négatif,remboursement,problème,encore en attente de remboursement après un mois,8,encore attente remboursement après mois,encore attente rembourse après mois
384,Le service est satisfaisant mais peut mieux faire.,mitigé,general,opinion_mixte,le service est satisfaisant mais peut mieux faire,8,service satisfaisant peut mieux faire,service satisfaisant peut mieux faire
385,Je pensais que ça serait compliqué et ça ne l'était pas.,positif,general,négation_positive,je pensais que ça serait compliqué et ça ne l'était pas,11,pensais ça serait compliqué ça ne l'était pas,pensais ça serait compliquer ça ne l'était pas
386,L'appli s'améliore vraiment à chaque mise à jour.,positif,application,simple,l'appli s'améliore vraiment à chaque mise à jour,8,l'appli s'améliore vraiment chaque mise jour,l'appli s'améliore vrai chaque mise jour
387,Colis reçu en bon état.,neutre,produit,factuel,colis reçu en bon état,5,colis reçu bon état,colis recevoir bon état
388,"Vraiment décevant, dernier achat ici.",négatif,general,simple,vraiment décevant dernier achat ici,5,vraiment décevant dernier achat ici,vrai décevant dernier achat ici
389,"Je ne pensais pas à commander ici, mais je suis content.",positif,general,négation_positive,je ne pensais pas à commander ici mais je suis content,11,ne pensais pas commander ici suis content,ne pensais pas commander ici suis content
390,Mon code promo était valide mais refusé au paiement.,négatif,paiement,problème,mon code promo était valide mais refusé au paiement,9,code promo valide refusé paiement,code promo valide refuser paie
391,La réactivité du service client est exemplaire.,positif,support,simple,la réactivité du service client est exemplaire,7,réactivité service client exemplaire,réactiviter service client exemplaire
392,Le produit se ternit après quelques lavages.,négatif,produit,problème,le produit se ternit après quelques lavages,7,produit ternit après quelques lavages,produit ternit après quelques lavages
393,Je ne me souviens pas d'un service aussi fluide.,positif,general,négation_positive,je ne me souviens pas d'un service aussi fluide,9,ne souviens pas d'un service fluide,ne souviens pas d'un service fluide
394,Livraison conforme à la promesse.,positif,livraison,simple,livraison conforme à la promesse,5,livraison conforme promesse,livraison conforme promesse
395,"Super, le livreur a sonné mais je n'ai pas eu le temps d'ouvrir.",mitigé,livraison,sarcasme,super le livreur a sonné mais je n'ai pas eu le temps d'ouvrir,13,super livreur sonné n'ai pas eu temps d'ouvrir,super livreur sonner n'ai pas eu temps d'ouvrir
396,Commande reçue.,neutre,livraison,factuel,commande reçue,2,commande reçue,commande recevoir
397,"Le produit est top, je le recommande.",positif,produit,simple,le produit est top je le recommande,7,produit top recommande,produit top recommande
398,Je n'ai pas été informé du report de ma livraison.,négatif,livraison,problème,je n'ai pas été informé du report de ma livraison,10,n'ai pas été informé report livraison,n'ai pas éter informer report livraison
399,Retour pris en charge rapidement.,positif,remboursement,simple,retour pris en charge rapidement,5,retour pris charge rapidement,retour pris charge rapide
400,Très longue attente au téléphone.,négatif,support,problème,très longue attente au téléphone,5,longue attente téléphone,long attente téléphone
401,Je suis satisfait de la livraison.,positif,livraison,simple,je suis satisfait de la livraison,6,suis satisfait livraison,suis satisfaire livraison
402,L'appli ne garde pas mes préférences.,négatif,application,problème,l'appli ne garde pas mes préférences,6,l'appli ne garde pas préférences,l'appli ne garde pas préférences
403,"Je n'avais pas de grandes attentes, elles ont été dépassées.",positif,produit,négation_positive,je n'avais pas de grandes attentes elles ont été dépassées,10,n'avais pas grandes attentes été dépassées,n'avais pas grandes attentes éter dépasséer
404,Le bon de commande était illisible.,négatif,administratif,problème,le bon de commande était illisible,6,bon commande illisible,bon commande illisible
405,Réponse rapide et utile.,positif,support,simple,réponse rapide et utile,4,réponse rapide utile,réponse rapide utile
406,Produit bien mais livraison décevante.,mitigé,livraison,opinion_mixte,produit bien mais livraison décevante,5,produit livraison décevante,produit livraison décevante
407,Je n'aurais pas cru qu'un retour soit aussi simple.,positif,remboursement,négation_positive,je n'aurais pas cru qu'un retour soit aussi simple,9,n'aurais pas cru qu'un retour soit simple,n'aurais pas cru qu'un retour soit simple
